access_estsize,access_url,datalink_url,date_obs,dec,dec_pnt,det_chip1id,det_chop_ncycles,det_dit,det_expid,det_ndit,dp_cat,dp_id,dp_tech,dp_type,ecl_lat,ecl_lon,exp_start,exposure,filter_path,gal_lat,gal_lon,grat_path,gris_path,ins_mode,instrument,lambda_max,lambda_min,last_mod_date,mjd_obs,ob_id,ob_name,object,obs_mode,origfile,period,pi_coi,prog_id,prog_title,prog_type,ra,ra_pnt,release_date,s_region,slit_path,target,tel_airm_end,tel_airm_start,tel_alt,tel_ambi_fwhm_end,tel_ambi_fwhm_start,tel_ambi_pres_end,tel_ambi_pres_start,tel_ambi_rhum,tel_az,telescope,tpl_expno,tpl_id,tpl_name,tpl_nexp,tpl_seqno,tpl_start,col1,col2,col3,col4
3788,https://dataportal.eso.org/dataPortal/file/EFOSC.2003-12-01T02:53:22.708,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?EFOSC.2003-12-01T02:53:22.708,2003-12-01T02:53:22.707,-4.25077,-4.25077,ccd40,,,1361,,SCIENCE,EFOSC.2003-12-01T02:53:22.708,IMAGE,,-0.874865,188.693019,2003-12-01T02:53:22.707Z,4.996,SII#700,-59.898273,78.799116,,WOLL_PRISM10,,EFOSC/3.2,675.402,669.348,2011-07-13T19:58:16.327Z,52974.12040171,100158253,mars_03UT_night2-0,MARS_03UT_NIGHT2,v,EFOSC_ImaPol.94.fits,,SCHMID/ FELDT/ STAM/ BRANDNER/ QUIRRENBACH/ STUIK/ JOOS/ GISLER,072.C-0498(A),POLARIMETRIC AND SPECTROPOLARIMETRIC CHARACTERIZATION OF PLANETS AND THE DUST DEBRIS DISK IN BETA PICTORIS,0,352.36021694,352.360217,2004-11-30T02:53:22Z,POSITION J2000 352.36021700000003 -4.25077,WOLLMASK=,MARS_03UT_NIGHT2,1.67,1.667,36.761,0.56,0.56,773.3,773.3,45.0,468.238,ESO-3P6,2,EFOSC_img_obs_Polarimetry,Polarimetric imaging,4,2,2003-12-01T02:51:44,EFOSC.2003-12-01T02:53:22.708,IMAGE,EFOSC/3.2,MARS_03UT_NIGHT2
3774,https://dataportal.eso.org/dataPortal/file/EFOSC.2003-12-01T02:54:52.999,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?EFOSC.2003-12-01T02:54:52.999,2003-12-01T02:54:52.999,-4.25051,-4.25051,ccd40,,,1381,,SCIENCE,EFOSC.2003-12-01T02:54:52.999,IMAGE,,-0.874853,188.692386,2003-12-01T02:54:52.997Z,4.996,SII#700,-59.898428,78.800338,,WOLL_PRISM10,,EFOSC/3.2,675.402,669.348,2011-07-13T19:58:19.870Z,52974.12144675,100158253,mars_03UT_night2-0,MARS_03UT_NIGHT2,v,EFOSC_ImaPol.96.fits,,SCHMID/ FELDT/ STAM/ BRANDNER/ QUIRRENBACH/ STUIK/ JOOS/ GISLER,072.C-0498(A),POLARIMETRIC AND SPECTROPOLARIMETRIC CHARACTERIZATION OF PLANETS AND THE DUST DEBRIS DISK IN BETA PICTORIS,0,352.360795,352.360795,2004-11-30T02:54:52Z,POSITION J2000 352.360795 -4.25051,WOLLMASK=,MARS_03UT_NIGHT2,1.682,1.68,36.45,0.64,0.56,773.2,773.3,45.0,467.979,ESO-3P6,4,EFOSC_img_obs_Polarimetry,Polarimetric imaging,4,2,2003-12-01T02:51:44,EFOSC.2003-12-01T02:54:52.999,IMAGE,EFOSC/3.2,MARS_03UT_NIGHT2
5410,https://dataportal.eso.org/dataPortal/file/EFOSC.2003-12-01T03:12:03.516,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?EFOSC.2003-12-01T03:12:03.516,2003-12-01T03:12:03.516,-4.2477,-4.2477,ccd40,,,1511,,SCIENCE,EFOSC.2003-12-01T03:12:03.516,SPECTRUM,,-0.87412,188.686967,2003-12-01T03:12:03.517Z,0.696,WOLL_PRISM20,-59.899141,78.811148,,GR#5,,EFOSC/3.2,,,2011-07-13T19:58:17.327Z,52974.13337403,100158254,mars_03UT_night2-1,MARS_03UT_NIGHT2,v,EFOSC_SpecPol.6.fits,,SCHMID/ FELDT/ STAM/ BRANDNER/ QUIRRENBACH/ STUIK/ JOOS/ GISLER,072.C-0498(A),POLARIMETRIC AND SPECTROPOLARIMETRIC CHARACTERIZATION OF PLANETS AND THE DUST DEBRIS DISK IN BETA PICTORIS,0,352.36549888,352.365499,2004-11-30T03:12:03Z,POSITION J2000 352.365499 -4.2477,MOS#2,MARS_03UT_NIGHT2,1.84,1.839,32.85,0.45,0.45,773.2,773.2,44.0,465.138,ESO-3P6,2,EFOSC_spec_obs_Polarimetry,Spectropolarimetry,4,2,2003-12-01T03:11:13,EFOSC.2003-12-01T03:12:03.516,SPECTRUM,EFOSC/3.2,MARS_03UT_NIGHT2
5420,https://dataportal.eso.org/dataPortal/file/EFOSC.2003-12-01T03:12:43.838,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?EFOSC.2003-12-01T03:12:43.838,2003-12-01T03:12:43.838,-4.24762,-4.24762,ccd40,,,1521,,SCIENCE,EFOSC.2003-12-01T03:12:43.838,SPECTRUM,,-0.874131,188.686738,2003-12-01T03:12:43.837Z,0.696,WOLL_PRISM20,-59.899211,78.811583,,GR#5,,EFOSC/3.2,,,2011-07-13T19:58:15.477Z,52974.13384072,100158254,mars_03UT_night2-1,MARS_03UT_NIGHT2,v,EFOSC_SpecPol.7.fits,,SCHMID/ FELDT/ STAM/ BRANDNER/ QUIRRENBACH/ STUIK/ JOOS/ GISLER,072.C-0498(A),POLARIMETRIC AND SPECTROPOLARIMETRIC CHARACTERIZATION OF PLANETS AND THE DUST DEBRIS DISK IN BETA PICTORIS,0,352.36571388,352.365714,2004-11-30T03:12:43Z,POSITION J2000 352.365714 -4.24762,MOS#2,MARS_03UT_NIGHT2,1.847,1.846,32.709,0.45,0.45,773.2,773.2,44.0,465.033,ESO-3P6,3,EFOSC_spec_obs_Polarimetry,Spectropolarimetry,4,2,2003-12-01T03:11:13,EFOSC.2003-12-01T03:12:43.838,SPECTRUM,EFOSC/3.2,MARS_03UT_NIGHT2
5445,https://dataportal.eso.org/dataPortal/file/EFOSC.2003-12-01T03:23:28.061,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?EFOSC.2003-12-01T03:23:28.061,2003-12-01T03:23:28.061,-4.24603,-4.24603,ccd40,,,1581,,SCIENCE,EFOSC.2003-12-01T03:23:28.061,SPECTRUM,,-0.873985,188.683046,2003-12-01T03:23:28.607Z,0.696,WOLL_PRISM20,-59.900037,78.818763,,GR#5,,EFOSC/3.2,,,2011-07-13T19:58:14.600Z,52974.141297,100158255,mars_03UT_night2-1,MARS_03UT_NIGHT2,v,EFOSC_SpecPol.11.fits,,SCHMID/ FELDT/ STAM/ BRANDNER/ QUIRRENBACH/ STUIK/ JOOS/ GISLER,072.C-0498(A),POLARIMETRIC AND SPECTROPOLARIMETRIC CHARACTERIZATION OF PLANETS AND THE DUST DEBRIS DISK IN BETA PICTORIS,0,352.36905805,352.369058,2004-11-30T03:23:28Z,POSITION J2000 352.369058 -4.24603,MOS#2,MARS_03UT_NIGHT2,1.97,1.968,30.436,0.43,0.43,773.1,773.1,43.0,463.367,ESO-3P6,3,EFOSC_spec_obs_Polarimetry,Spectropolarimetry,4,2,2003-12-01T03:21:14,EFOSC.2003-12-01T03:23:28.061,SPECTRUM,EFOSC/3.2,MARS_03UT_NIGHT2
3721,https://dataportal.eso.org/dataPortal/file/EFOSC.2003-12-01T02:56:36.773,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?EFOSC.2003-12-01T02:56:36.773,2003-12-01T02:56:36.773,-4.25022,-4.25022,ccd40,,,1401,,SCIENCE,EFOSC.2003-12-01T02:56:36.773,IMAGE,,-0.874797,188.691782,2003-12-01T02:56:36.773Z,4.996,SPECIAL#3,-59.898531,78.80153,,WOLL_PRISM10,,EFOSC/3.2,,,2011-07-13T19:58:14.720Z,52974.12264784,100158253,mars_03UT_night2-0,MARS_03UT_NIGHT2,v,EFOSC_ImaPol.98.fits,,SCHMID/ FELDT/ STAM/ BRANDNER/ QUIRRENBACH/ STUIK/ JOOS/ GISLER,072.C-0498(A),POLARIMETRIC AND SPECTROPOLARIMETRIC CHARACTERIZATION OF PLANETS AND THE DUST DEBRIS DISK IN BETA PICTORIS,0,352.36132888,352.361329,2004-11-30T02:56:36Z,POSITION J2000 352.361329 -4.25022,WOLLMASK=,MARS_03UT_NIGHT2,1.696,1.694,36.089,0.62,0.61,773.3,773.2,44.0,467.682,ESO-3P6,2,EFOSC_img_obs_Polarimetry,Polarimetric imaging,4,3,2003-12-01T02:55:34,EFOSC.2003-12-01T02:56:36.773,IMAGE,EFOSC/3.2,MARS_03UT_NIGHT2
5441,https://dataportal.eso.org/dataPortal/file/EFOSC.2003-12-01T03:11:23.395,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?EFOSC.2003-12-01T03:11:23.395,2003-12-01T03:11:23.395,-4.2478,-4.2478,ccd40,,,1501,,SCIENCE,EFOSC.2003-12-01T03:11:23.395,SPECTRUM,,-0.874126,188.687207,2003-12-01T03:11:23.397Z,0.696,WOLL_PRISM20,-59.899083,78.810683,,GR#5,,EFOSC/3.2,,,2011-07-13T19:58:15.157Z,52974.13290967,100158254,mars_03UT_night2-1,MARS_03UT_NIGHT2,v,EFOSC_SpecPol.5.fits,,SCHMID/ FELDT/ STAM/ BRANDNER/ QUIRRENBACH/ STUIK/ JOOS/ GISLER,072.C-0498(A),POLARIMETRIC AND SPECTROPOLARIMETRIC CHARACTERIZATION OF PLANETS AND THE DUST DEBRIS DISK IN BETA PICTORIS,0,352.36528,352.36528,2004-11-30T03:11:23Z,POSITION J2000 352.36528 -4.2478,MOS#2,MARS_03UT_NIGHT2,1.833,1.831,32.994,0.45,0.45,773.2,773.2,44.0,465.247,ESO-3P6,1,EFOSC_spec_obs_Polarimetry,Spectropolarimetry,4,2,2003-12-01T03:11:13,EFOSC.2003-12-01T03:11:23.395,SPECTRUM,EFOSC/3.2,MARS_03UT_NIGHT2
3776,https://dataportal.eso.org/dataPortal/file/EFOSC.2003-12-01T02:52:37.333,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?EFOSC.2003-12-01T02:52:37.333,2003-12-01T02:52:37.333,-4.2509,-4.2509,ccd40,,,1351,,SCIENCE,EFOSC.2003-12-01T02:52:37.333,IMAGE,,-0.874911,188.693239,2003-12-01T02:52:37.333Z,4.996,SII#700,-59.89826,78.798666,,WOLL_PRISM10,,EFOSC/3.2,675.402,669.348,2011-07-13T19:58:14.160Z,52974.11987654,100158253,mars_03UT_night2-0,MARS_03UT_NIGHT2,v,EFOSC_ImaPol.93.fits,,SCHMID/ FELDT/ STAM/ BRANDNER/ QUIRRENBACH/ STUIK/ JOOS/ GISLER,072.C-0498(A),POLARIMETRIC AND SPECTROPOLARIMETRIC CHARACTERIZATION OF PLANETS AND THE DUST DEBRIS DISK IN BETA PICTORIS,0,352.36003194,352.360032,2004-11-30T02:52:37Z,POSITION J2000 352.360032 -4.2509,WOLLMASK=,MARS_03UT_NIGHT2,1.663,1.662,36.92,0.65,0.65,773.3,773.3,45.0,468.371,ESO-3P6,1,EFOSC_img_obs_Polarimetry,Polarimetric imaging,4,2,2003-12-01T02:51:44,EFOSC.2003-12-01T02:52:37.333,IMAGE,EFOSC/3.2,MARS_03UT_NIGHT2
5664,https://dataportal.eso.org/dataPortal/file/EFOSC.2003-12-01T03:09:18.804,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?EFOSC.2003-12-01T03:09:18.804,2003-12-01T03:09:18.803,-4.24815,-4.24815,ccd40,,,1471,,SCIENCE,EFOSC.2003-12-01T03:09:18.804,SPECTRUM,,-0.874185,188.687957,2003-12-01T03:09:18.803Z,0.996,WOLL_PRISM20,-59.898944,78.809209,,GR#5,,EFOSC/3.2,,,2011-07-13T19:58:19.250Z,52974.13146764,100158254,mars_03UT_night2-1,MARS_03UT_NIGHT2,v,EFOSC_SpecPol.2.fits,,SCHMID/ FELDT/ STAM/ BRANDNER/ QUIRRENBACH/ STUIK/ JOOS/ GISLER,072.C-0498(A),POLARIMETRIC AND SPECTROPOLARIMETRIC CHARACTERIZATION OF PLANETS AND THE DUST DEBRIS DISK IN BETA PICTORIS,0,352.36461194,352.364612,2004-11-30T03:09:18Z,POSITION J2000 352.36461199999997 -4.24815,MOS#2,MARS_03UT_NIGHT2,1.812,1.81,33.43,0.47,0.47,773.3,773.3,45.0,465.578,ESO-3P6,3,EFOSC_spec_obs_Polarimetry,Spectropolarimetry,16,2,2003-12-01T03:07:04,EFOSC.2003-12-01T03:09:18.804,SPECTRUM,EFOSC/3.2,MARS_03UT_NIGHT2
3757,https://dataportal.eso.org/dataPortal/file/EFOSC.2003-12-01T02:54:07.809,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?EFOSC.2003-12-01T02:54:07.809,2003-12-01T02:54:07.808,-4.25065,-4.25065,ccd40,,,1371,,SCIENCE,EFOSC.2003-12-01T02:54:07.809,IMAGE,,-0.874861,188.692724,2003-12-01T02:54:07.807Z,4.996,SII#700,-59.898346,78.799685,,WOLL_PRISM10,,EFOSC/3.2,675.402,669.348,2011-07-13T19:58:14.973Z,52974.12092371,100158253,mars_03UT_night2-0,MARS_03UT_NIGHT2,v,EFOSC_ImaPol.95.fits,,SCHMID/ FELDT/ STAM/ BRANDNER/ QUIRRENBACH/ STUIK/ JOOS/ GISLER,072.C-0498(A),POLARIMETRIC AND SPECTROPOLARIMETRIC CHARACTERIZATION OF PLANETS AND THE DUST DEBRIS DISK IN BETA PICTORIS,0,352.36048694,352.360487,2004-11-30T02:54:07Z,POSITION J2000 352.36048700000003 -4.25065,WOLLMASK=,MARS_03UT_NIGHT2,1.676,1.674,36.606,0.56,0.56,773.3,773.3,45.0,468.108,ESO-3P6,3,EFOSC_img_obs_Polarimetry,Polarimetric imaging,4,2,2003-12-01T02:51:44,EFOSC.2003-12-01T02:54:07.809,IMAGE,EFOSC/3.2,MARS_03UT_NIGHT2
